Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
International Bunker Fuels e,38.2,46.5,46.9,47.0,48.5,50.0,51.1,54.6,54.2,57.7,62.1,56.5,54.7,55.3,56.3,60.2,60.4,61.6,56.2,52.9,61.0,64.9,64.6,65.7,69.7,72.0,74.1,77.8,83.0,78.3,39.8,50.8,66.6
International Bunker Fuels from Commercial Aviation ,30.0,38.3,40.2,40.5,42.6,44.4,45.8,49.7,49.2,52.8,57.4,51.3,49.9,50.6,51.4,55.6,56.4,57.5,52.4,49.2,57.4,61.7,61.4,62.8,66.3,68.6,70.8,74.5,79.8,75.1,36.7,47.6,63.5
Aviation Gasoline,3.1,2.9,2.8,2.7,2.6,2.7,2.6,2.7,2.5,2.7,2.5,2.4,2.3,2.1,2.2,2.4,2.3,2.2,2.0,1.8,1.9,1.9,1.7,1.5,1.5,1.5,1.4,1.4,1.5,1.6,1.4,1.5,1.5
General Aviation Aircraft,3.1,2.9,2.8,2.7,2.6,2.7,2.6,2.7,2.5,2.7,2.5,2.4,2.3,2.1,2.2,2.4,2.3,2.2,2.0,1.8,1.9,1.9,1.7,1.5,1.5,1.5,1.4,1.4,1.5,1.6,1.4,1.5,1.5
Residual Fuel Oil,76.3,77.0,80.3,67.7,66.3,68.4,63.9,53.4,50.6,50.0,66.6,44.0,50.8,42.9,55.5,62.9,68.0,74.6,69.5,59.4,67.0,58.3,50.4,43.6,33.5,34.8,46.8,49.9,45.4,39.7,29.4,46.2,47.3
Ships and Non-Recreational Boats e,22.6,16.9,30.0,27.6,26.9,29.1,23.6,10.3,5.9,13.2,33.3,12.0,17.1,7.4,14.0,19.3,23.0,29.0,20.4,13.9,20.4,19.4,15.8,15.1,5.8,4.2,12.9,16.5,14.0,14.5,7.3,24.2,22.9
International Bunker Fuels e,53.7,60.2,50.3,40.1,39.4,39.3,40.3,43.2,44.7,36.8,33.3,32.0,33.7,35.4,41.5,43.6,45.0,45.6,49.2,45.4,46.5,38.9,34.5,28.5,27.7,30.6,33.8,33.4,31.4,25.2,22.1,21.9,24.4
Natural Gas i,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.3,35.8,35.7,34.9,37.1,33.3,31.9,33.1,33.1,35.2,36.7,37.9,38.2,38.9,41.4,47.0,40.2,39.4,40.1,42.3,50.9,58.9,58.7,65.2,70.2
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
Medium- and Heavy-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1
Buses,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7
Pipeline g,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.7,36.8,33.0,31.7,32.8,32.8,34.9,36.5,37.7,37.8,38.6,41.0,46.7,39.8,38.9,39.6,41.7,50.3,58.3,58.0,64.4,69.3
LPG i,1.4,1.3,1.2,1.3,2.1,1.1,1.0,0.9,1.1,0.9,0.7,0.9,0.9,1.1,1.2,1.8,1.7,1.4,2.5,1.8,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8,0.5,0.6,0.6
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
Light-Duty Trucks,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,+,+,+,+,+,+ ,+,+ ,+
Medium- and Heavy-Duty Trucks b,1.3,1.2,1.1,1.2,1.9,1.0,0.9,0.8,0.9,0.7,0.5,0.6,0.6,0.7,0.7,0.9,0.7,0.5,0.9,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+
Buses,+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.9,0.8,1.5,1.1,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.7,0.7,0.7,0.5,0.6,0.6
Electricity k,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,4.0,4.3,4.4,4.3,4.2,4.3,4.8,4.8,4.1,5.0,6.1
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.2,0.4,0.5,0.7,0.8,1.2,1.4,1.3,1.8,2.4
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.2,0.2,0.3,0.7,1.1
Buses,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1
Rail,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,3.9,4.0,4.0,3.7,3.5,3.4,3.4,3.1,2.4,2.5,2.5
"Total e,j",1472.0,4.7,5.4,6.3,7.0,7.5,5.4,6.8,7.6,8.0,9.0,9.5,11.2,15.3,19.1,1863.3,28.7,36.1,51.1,58.5,68.7,69.5,69.6,70.5,74.0,74.2,76.9,77.7,1817.9,1821.4,1576.9,1758.6,1757.4
International Bunker Fuels,103.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.3,113.3,2.5,3.3,2.9,3.0,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7,124.3,113.6,69.6,80.2,98.2
Biofuels-Ethanol h,4.1,1425.3,1480.6,1511.6,1557.1,1583.7,1630.4,1646.6,1682.1,1749.6,1795.6,1766.1,1806.5,1816.3,1849.8,21.6,1863.7,1865.8,1764.4,1693.0,1701.1,1674.7,1663.4,1673.3,1711.8,1722.6,1762.1,1784.6,78.6,78.7,68.1,75.4,75.0
Biofuels-Biodiesel h,0.0,1543.1,1588.6,1609.6,1653.9,1682.3,1730.3,1753.7,1792.7,1852.4,1897.5,1860.0,1901.1,1914.8,1958.4,0.9,1977.9,1981.3,1878.8,1799.5,1818.2,1786.4,1769.3,1773.1,1815.3,1833.6,1878.8,1904.8,17.9,17.1,17.7,16.1,15.6
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a On-road fuel consumption data from FHWA Table MF-21 and MF-27 were used to determine total on-road use of motor gasoline and diesel fuel (FHWA 1996 through 2023). Ratios developed from MOVES3 output are used to apportion FHWA fuel consumption data to vehicle type and fuel type (see Annex 3.2 for information about the MOVES model). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Includes medium- and heavy-duty trucks over 8,500 lbs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c In 2014, EPA incorporated the NONROAD2008 model into the MOVES model framework. The current Inventory uses the Nonroad component of MOVES3 for years 1999 through 2022. See Annex 3.2 for information about the MOVES model.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Note that large year over year fluctuations in emission estimates partially reflect nature of data collection for these sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e Official estimates exclude emissions from the combustion of both aviation and marine international bunker fuels; however, estimates of international bunker fuel-related emissions are presented for informational purposes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Commercial aircraft, as modeled in FAA’s Aviation Environmental Design Tool (AEDT), consists of passenger aircraft, cargo, and other chartered flights. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g Pipelines reflect CO2 emissions from natural gas-powered pipelines transporting natural gas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h Ethanol and biodiesel estimates are presented for informational purposes only. See Section 3.10 of this chapter and the estimates in Land Use, Land-Use Change, and Forestry (see Chapter 6), in line with IPCC methodological guidance and Paris Agreement and UNFCCC reporting obligations, for more information on ethanol and biodiesel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i Transportation sector natural gas and LPG consumption are based on data from EIA (2023b). Prior to the 1990 to 2015 Inventory, data from DOE TEDB were used to estimate each vehicle class’s share of the total natural gas and LPG consumption. Since TEDB does not include estimates for natural gas use by medium and heavy-duty trucks or LPG use by passenger cars, EIA Alternative Fuel Vehicle Data (Browning 2017) is now used to determine each vehicle class’s share of the total natural gas and LPG consumption. These changes were first incorporated in the 1990 to 2016 Inventory and apply to the 1990 to 2022 time period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j Includes emissions from rail electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"k Electricity consumption by passenger cars, light-duty trucks (SUVs), and buses is based on plug-in electric vehicle sales and engine efficiency data, as outlined in Browning (2018). In prior Inventory years, CO2 emissions from electric vehicle charging were allocated to the residential and commercial sectors. They are now allocated to the transportation sector. These changes apply to the 2010 through 2022 time period. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: This table does not include emissions from non-transportation mobile sources, such as agricultural equipment and construction/mining equipment; it also does not include emissions associated with electricity consumption by pipelines or lubricants used in transportation. In addition, this table does not include CO2 emissions from U.S. Territories, since these are covered in a separate chapter of the Inventory. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
