Table 3-100:  Station Blowdowns National Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Station Blowdowns,"20,218","20,989","22,206","22,823","23,577","23,889","24,474","24,516","24,424","23,860","24,677","24,902","24,817","25,208","25,927","26,155","26,603","28,127","30,153","30,608","31,851","34,249","36,156","37,100","39,334","41,480","41,315","52,946","79,313","39,059","40,519","35,161","32,036"
Previous Estimate ,"20,517","21,302","21,921","22,452","23,167","23,597","24,257","24,343","24,258","23,763","24,640","24,844","24,748","25,146","25,860","26,113","26,560","28,085","30,117","30,544","31,612","34,283","36,195","37,135","39,278","41,443","41,247","63,852","78,548","38,412","40,468","42,231", NA 
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
