"Table 3-1:  CO2, CH4, and N2O Emissions from Energy (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Coal Mining, 4.6 , 4.4 , 4.4 , 3.9 , 4.4 , 4.4 , 4.5 , 4.6 , 4.6 , 4.4 , 4.2 , 4.3 , 4.0 , 4.0 , 4.1 , 4.2 , 4.1 , 4.0 , 4.1 , 3.8 , 3.9 , 3.9 , 3.9 , 3.8 , 4.0 , 3.5 , 2.9 , 3.2 , 3.1 , 3.0 , 2.2 , 2.5 , 2.5 
Abandoned Oil and Gas Wells, +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  
Biomass-Wooda, 215.2 , 215.3 , 225.0 , 219.3 , 225.0 , 229.1 , 235.7 , 228.5 , 210.4 , 213.3 , 218.1 , 193.5 , 192.8 , 193.8 , 205.1 , 206.9 , 202.9 , 202.3 , 199.9 , 188.6 , 215.5 , 214.9 , 208.3 , 227.3 , 233.8 , 224.7 , 216.0 , 212.0 , 220.0 , 217.7 , 190.6 , 192.5 , 195.3 
International Bunker Fuelsb, 103.6 , 117.7 , 108.0 , 98.0 , 96.8 , 98.6 , 99.9 , 107.1 , 110.6 , 102.8 , 101.9 , 93.9 , 94.6 , 98.5 , 108.6 , 113.3 , 114.3 , 115.5 , 114.5 , 106.5 , 117.1 , 111.7 , 105.9 , 99.8 , 103.5 , 111.0 , 116.7 , 120.2 , 124.3 , 113.6 , 69.6 , 80.2 , 98.2 
Biofuels-Ethanola, 4.2 , 4.9 , 5.6 , 6.5 , 7.3 , 7.8 , 5.6 , 7.1 , 7.8 , 8.2 , 9.3 , 9.8 , 11.7 , 16.0 , 20.1 , 22.9 , 31.0 , 38.9 , 54.7 , 62.3 , 72.6 , 72.9 , 72.8 , 74.7 , 76.1 , 78.9 , 81.2 , 82.1 , 81.9 , 82.6 , 71.8 , 79.1 , 79.6 
Biofuels-Biodiesela,0,0,0,0,0,0,0,0,0,0,0, 0.1 , 0.2 , 0.1 , 0.3 , 0.9 , 2.5 , 3.3 , 2.9 , 3.0 , 2.5 , 8.3 , 8.5 , 13.5 , 13.3 , 14.1 , 19.6 , 18.7 , 17.9 , 17.1 , 17.7 , 16.1 , 15.6 
Biomass-MSWa, 18.5 , 15.2 , 17.3 , 16.3 , 17.0 , 17.1 , 17.1 , 15.9 , 14.5 , 13.8 , 14.8 , 14.8 , 14.7 , 14.7 , 14.8 , 14.7 , 16.0 , 15.4 , 15.4 , 15.2 , 15.0 , 16.6 , 16.2 , 16.1 , 15.9 , 15.7 , 15.8 , 16.1 , 16.1 , 15.7 , 15.6 , 15.3 , 14.9 
CH4, 409.0 , 411.3 , 405.6 , 390.4 , 393.5 , 385.3 , 385.7 , 385.7 , 379.5 , 368.1 , 369.9 , 369.4 , 361.1 , 361.4 , 365.1 , 358.5 , 371.6 , 368.9 , 387.3 , 374.7 , 372.4 , 356.6 , 342.4 , 351.8 , 351.3 , 345.2 , 320.7 , 332.7 , 336.2 , 321.7 , 305.3 , 293.3 , 282.4 
Natural Gas Systems, 218.8 , 224.1 , 221.1 , 221.0 , 223.3 , 216.0 , 214.4 , 216.6 , 213.7 , 210.0 , 213.2 , 214.1 , 212.1 , 211.1 , 212.9 , 210.1 , 218.1 , 216.2 , 219.4 , 207.1 , 199.9 , 194.1 , 189.3 , 188.2 , 185.7 , 186.9 , 181.5 , 183.4 , 190.3 , 188.7 , 180.3 , 174.6 , 173.1 
Coal Mining, 108.1 , 104.6 , 101.6 , 86.5 , 86.9 , 85.6 , 85.1 , 84.5 , 84.8 , 79.7 , 76.5 , 76.2 , 71.5 , 71.6 , 73.1 , 71.5 , 73.0 , 72.6 , 84.7 , 89.4 , 92.0 , 79.7 , 73.0 , 72.4 , 72.3 , 68.5 , 60.3 , 61.4 , 59.1 , 53.0 , 46.2 , 44.7 , 43.6 
