Table 3-110:  CH4 Emissions from Abandoned Oil and Gas Wells (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Abandoned Oil Wells,228,229,231,232,233,234,235,235,236,236,236,237,237,237,237,236,236,236,236,235,235,235,235,235,235,236,236,237,237,237,237,237,235
Abandoned Gas Wells,51,52,52,53,53,54,54,54,55,55,55,56,57,57,57,58,58,59,59,60,61,61,62,62,63,63,63,64,64,65,66,69,68
Total,279,281,283,285,286,288,289,290,291,291,292,293,294,294,294,294,294,295,295,296,296,296,297,297,298,299,299,301,301,302,303,306,303
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
