Table 3-129:  Woody Biomass Consumption by Sector (Trillion Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Industrial,1441.9,1409.8,1461.2,1484.3,1579.8,1652.1,1683.5,1730.6,1603.4,1619.5,1635.9,1442.6,1396.4,1363.3,1475.7,1451.7,1472.4,1413.0,1338.7,1178.4,1409.0,1437.6,1462.2,1489.0,1495.0,1475.9,1473.8,1442.3,1432.0,1407.0,1356.2,1365.9,1308.5
Residential,580.0,610.0,640.0,550.0,520.0,520.0,540.0,430.0,380.0,390.0,420.0,370.0,380.0,400.0,410.0,430.0,380.0,420.0,470.0,504.0,540.5,524.3,438.1,571.7,578.5,512.7,444.6,429.6,524.9,545.5,345.1,344.1,422.5
Commercial,65.7,68.4,72.0,75.6,71.7,72.4,75.7,73.4,64.0,66.6,71.5,66.8,68.7,71.4,70.3,70.0,65.1,69.8,72.9,72.6,71.6,69.2,60.7,70.2,76.3,79.3,83.7,83.7,84.1,84.3,83.0,82.7,83.0
Electric Power,128.5,125.8,140.2,149.8,152.3,125.4,137.9,137,136.7,138,134.3,126.4,150.2,167.3,165.2,185,181.8,186,177.3,180,195.6,182.2,190.2,207.4,251.3,243.9,224.4,229.3,221.1,200.5,185.4,196.7,197.7
Total,2216.2,2214.1,2313.5,2259.8,2323.8,2369.9,2437.0,2371.0,2184.2,2214.2,2261.7,2005.8,1995.3,2002.0,2121.3,2136.7,2099.3,2088.8,2059.0,1935.0,2216.7,2213.2,2151.2,2338.3,2401.1,2311.8,2226.6,2185.0,2262.0,2237.3,1969.6,1989.4,2011.7
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
