Table 3-115:  Approach 2 Quantitative Uncertainty Estimates for CH4 and CO2 Emissions from Petroleum and Natural Gas Systems (MMT CO2 Eq. and Percent) ,,,,,,
Source,Gas,2022 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,(MMT CO2 Eq.)b,(MMT CO2 Eq.),,(%),
,,,Lower Bound,Upper Bound,Lower Bound,Upper Bound
Abandoned Oil Wells,CH4,6.6,1.1,19.7,-83%,204%
Abandoned Gas Wells,CH4,1.9,0.3,5.4,-83%,204%
Abandoned Oil Wells,CO2,0.005,0.001,0.014,-83%,204%
Abandoned Gas Wells,CO2,0.003,0.0005,0.008,-83%,204%
a Range of emission estimates estimated by applying the 95 percent confidence intervals obtained from the Monte Carlo simulation analysis conducted for total abandoned oil and gas well CH4 emissions in year 2022. ,,,,,,
"b All reported values are rounded after calculation. As a result, lower and upper bounds may not be duplicable from other rounded values as shown in the table.",,,,,,
