Table 5-16:  N2O Emissions from Agricultural Soils (kt N2O),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Direct,977, 943 , 926 , 980 , 987 , 972 ," 1,008 ", 969 , 977 , 975 , 949 , 999 ," 1,009 "," 1,010 "," 1,025 ","1,002", 995 ," 1,027 "," 1,013 "," 1,014 "," 1,026 "," 1,022 ", 973 ," 1,100 "," 1,123 "," 1,080 "," 1,042 "," 1,062 ","1,126","1,060",992,"1,010",990
Cropland,660, 631 , 618 , 666 , 677 , 656 , 685 , 647 , 652 , 666 , 649 , 682 , 690 , 693 , 694 ,681.4, 674 , 706 , 695 , 688 , 698 , 712 , 676 , 767 , 791 , 749 , 716 , 739 ,788.3,729.9,688.5,695.4,680.6
Grassland,316.7, 313 , 308 , 314 , 311 , 316 , 323 , 322 , 325 , 309 , 301 , 316 , 319 , 316 , 331 ,321.1, 321 , 321 , 318 , 326 , 328 , 310 , 297 , 333 , 332 , 331 , 326 , 323 ,337.4,330,303.1,314.6,309.9
Indirect,113, 105 , 112 , 122 , 102 , 113 , 112 , 107 , 122 , 112 , 102 , 115 , 106 , 108 , 122 ,107, 112 , 118 , 120 , 115 , 117 , 115 , 95 , 125 , 122 , 134 , 118 , 123 ,133,131,111,114,107
Cropland,89, 81 , 87 , 97 , 79 , 88 , 88 , 83 , 95 , 89 , 81 , 90 , 82 , 85 , 97 ,84.2, 88 , 93 , 95 , 91 , 93 , 92 , 73 , 100 , 100 , 108 , 94 , 99 ,106.2,105.6,88,91.1,83.9
Grassland,24, 24 , 24 , 25 , 24 , 24 , 24 , 24 , 26 , 23 , 21 , 25 , 24 , 23 , 26 ,23.1, 23 , 25 , 25 , 25 , 24 , 23 , 21 , 25 , 22 , 25 , 23 , 24 ,26.4,25.5,22.9,23.3,22.9
Total ,"1,090"," 1,048 "," 1,038 "," 1,102 "," 1,089 "," 1,085 "," 1,120 "," 1,075 "," 1,098 "," 1,087 "," 1,051 "," 1,114 "," 1,114 "," 1,118 "," 1,147 ","1,110"," 1,107 "," 1,145 "," 1,133 "," 1,129 "," 1,142 "," 1,137 "," 1,067 "," 1,225 "," 1,246 "," 1,214 "," 1,160 "," 1,185 ","1,258","1,191","1,102","1,124","1,097"
"Notes: Estimates for 2021 to 2022 are based on a data splicing method, except for other organic nitrogen amendments that are based on a data splicing method for 2018 to 2022 (see Methodology section). Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
