Table 5-22:  Applied Minerals (MMT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Limestone,19, 20.3 , 18.0 , 15.7 , 16.7 , 17.2 , 17.5 , 16.6 , 14.9 , 17.0 , 15.9 , 16.3 , 20.5 , 18.9 , 15.1 ,18.1, 16.5 , 17.5 , 20.5 , 15.7 , 20.0 , 15.9 , 20.7 , 16.4 , 15.1 , 16.0 , 12.9 , 13.4 ,9.4,8.9,11.6,9.3,13.5
Dolomite,2.4, 2.6 , 2.3 , 1.7 , 2.3 , 2.9 , 2.4 , 2.9 , 6.6 , 3.5 , 4.0 , 4.1 , 2.6 , 2.2 , 2.4 ,1.9, 2.7 , 2.9 , 2.6 , 1.2 , 1.9 , 1.9 , 6.3 , 1.5 , 1.3 , 1.2 , 1.0 , 0.7 ,0.9,1.2,1.6,1.6,1.5
