Table 2-12:  U.S. Greenhouse Gas Emissions by Economic Sector and Gas with Electricity-Related Emissions Distributed (MMT CO2 Eq.) and Percent of Total in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions by Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percenta
N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+%
SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+%
Residential,958,975.8,972.3,1024.6,1015,1028.3,1090.6,1079,1082.3,1103.6,1167.7,1158.4,1185.6,1215.2,1213.3,1247.7,1185,1238.6,1226.3,1159.7,1215.4,1158.8,1049.8,1110.9,1131.1,1052.9,998.7,963.1,1035.9,984,919.5,958,973.5,15.30%
Direct Emissions,345.6,355.3,361.8,373.1,363.8,367.3,399.1,380.4,346.5,366.3,387.6,377.8,375.1,393.7,381.9,371.2,334.4,355.3,363.8,353.9,355,348.9,306.5,357.2,377.6,350.7,327,329.2,376.8,384.2,358,369.6,391.3,6.20%
CO2,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,335.9,334.5,326.3,282.5,329.3,346.7,317.6,293.2,294,338.9,342.9,314.8,318,334.1,5.30%
CH4,5.9,6.1,6.3,5.7,5.3,5.3,5.6,4.6,4.1,4.2,4.5,4.1,4.2,4.4,4.4,4.5,4,4.4,4.7,5,5.3,5.1,4.3,5.5,5.6,5,4.4,4.3,5.1,5.3,3.6,3.6,4.3,0.10%
N2O,0.9,1,1,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.8,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.8,0.9,0.8,0.7,0.7,0.8,0.8,0.6,0.6,0.7,+%
SF6,0.2,0.5,0.5,0.5,0.5,8,9.2,10,10.1,10.4,10.6,9.9,9.1,8.4,7.6,7,7.9,9,10.4,12.1,14.4,16.6,19,21.6,24.4,27.3,28.8,30.3,31.9,35.1,39,47.3,52.2,0.80%
Electricity-Related,612.4,620.5,610.4,651.4,651.3,661,691.5,698.5,735.8,737.3,780.1,780.6,810.5,821.5,831.4,876.5,850.7,883.4,862.5,805.8,860.4,809.9,743.3,753.7,753.5,702.2,671.7,634,659.1,599.7,561.5,588.4,582.2,9.20%
CO2,598.1,606.4,596.6,637.2,637.5,647.7,678.4,686.1,723.8,725.2,767.6,768,797.4,808.2,817.8,862.2,836.9,869.6,848.8,792.9,847,797.4,732.1,741.9,741.5,691.2,660.7,623.7,648.6,590.1,551.9,578.5,571.8,9.00%
CH4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,+%
N2O,6.1,6.1,6.1,6.5,6.5,6.6,6.9,6.9,7.1,7.1,7.6,7.7,8.3,8.7,9,9.7,9.5,9.8,9.7,9.2,10.1,9.5,8.6,9.3,9.4,8.6,8.6,8,8.1,6.9,6.8,7.2,8.1,0.10%
SF6,8,7.8,7.6,7.6,7,6.5,6,5.4,4.7,4.8,4.6,4.6,4.5,4.4,4.2,4.2,3.9,3.7,3.6,3.3,2.9,2.6,2.2,2.1,2.2,1.9,2,1.9,1.8,2.2,2.2,2.2,1.9,+%
Commercial,1002.5,1009.9,1004.4,1022.5,1035.7,1048.8,1077.7,1109.4,1118.2,1122.7,1184.1,1187.4,1186.9,1203.6,1220.9,1241.1,1223,1266.3,1260,1199.9,1222.2,1181.5,1124.2,1151.9,1163.7,1132.5,1086.9,1060.2,1074.3,1030.5,931.5,976.8,1002.6,15.80%
Direct Emissions,447,454.5,450,443.1,446.1,444.5,451.6,442.9,416.3,411.8,425.6,414.1,415.3,431.7,429.1,418.9,404.9,418.4,425.3,428.3,430.6,425.5,406.5,429.2,439.4,451.7,435.6,437.4,453.5,462.6,436.9,443.7,463.7,7.30%
CO2,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,227.7,224.3,224.6,200.4,224.3,232.6,244.8,231.9,232.4,246.3,251.7,229.3,237.5,258.7,4.10%
CH4,203.6,206.4,206.1,203.7,203.2,197.6,193.5,182.8,171.8,164.4,160.7,155.5,153.8,156.5,153.7,150.9,148.2,145.6,143.1,140.3,140.9,131.3,132.6,128.5,128.1,126.7,122.4,123.7,125.9,127.8,122.9,120.5,118.5,1.90%
N2O,15.1,15.4,15.8,16.1,16.6,16.7,17.1,17.3,17.7,18.4,18.7,18.5,18.8,19.2,19.5,19.4,19.8,19.9,19.8,19.7,19.9,20.1,20.7,21,21.2,21.3,21.9,22.4,22.8,23.2,23.9,23.7,23.6,0.40%
