Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Gas (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Urea Fertilization,"2,417","2,313","2,448","2,637","2,683","2,657","2,587","2,691","2,947","3,016","3,214","3,414","3,572","3,685","3,653","3,504","3,656","3,757","3,613","3,555","3,778","4,097","4,282","4,443","4,512","4,679","4,720","4,816","4,936","5,034","5,132","5,229","5,327"
Carbon Dioxide Consumption,"1,472","1,469","1,463","1,470","1,476","1,477","1,486","1,484","1,481","1,479","1,478",894,"1,047","1,365","1,259","1,375","1,758","1,922","1,834","1,795","4,425","4,083","4,019","4,188","4,471","4,940","4,640","4,580","4,130","4,870","4,970","4,990","5,000"
Liming,"4,690","5,009","4,436","3,801","4,137","4,392","4,359","4,289","4,779","4,493","4,368","4,478","5,034","4,586","3,828","4,351","4,220","4,464","5,025","3,669","4,784","3,873","5,970","3,907","3,586","3,745","3,015","3,069","2,240","2,203","2,887","2,387","3,268"
Coal Mining,"4,606","4,425","4,425","3,881","4,382","4,354","4,497","4,619","4,608","4,362","4,165","4,273","4,035","3,980","4,144","4,169","4,100","4,026","4,092","3,799","3,850","3,935","3,858","3,836","4,012","3,507","2,894","3,154","3,139","2,992","2,197","2,455","2,474"
Glass Production,"2,263","2,149","2,242","2,273","2,344","2,333","2,367","2,468","2,529","2,569","2,544","2,420","2,431","2,386","2,422","2,402","2,398","2,303","2,205","1,897","2,056","2,065","2,020","2,015","2,007","2,006","2,118","1,984","1,989","1,940","1,858","1,969","1,956"
Soda Ash Production,"1,431","1,431","1,451","1,412","1,422","1,607","1,587","1,665","1,607","1,548","1,529","1,500","1,470","1,509","1,607","1,655","1,626","1,675","1,733","1,470","1,548","1,607","1,665","1,694","1,685","1,714","1,723","1,753","1,714","1,792","1,461","1,714","1,704"
Titanium Dioxide Production,"1,195","1,211","1,392","1,416","1,526","1,526","1,514","1,677","1,662","1,693","1,752","1,697","1,824","1,839","2,064","1,755","1,836","1,930","1,809","1,648","1,769","1,729","1,528","1,715","1,688","1,635","1,662","1,688","1,541","1,340","1,340","1,474","1,474"
Aluminum Production,"6,831","6,945","6,804","6,211","5,539","5,659","5,987","6,019","6,191","6,286","6,086","4,382","4,491","4,502","4,231","4,142","3,801","4,251","4,477","3,009","2,722","3,292","3,439","3,255","2,833","2,767","1,334","1,205","1,455","1,880","1,748","1,541","1,446"
Ferroalloy Production,"2,152","1,929","1,957","1,904","2,021","2,036","2,133","2,226","2,218","2,185","1,893","1,459","1,349","1,305","1,419","1,392","1,505","1,552","1,599","1,469","1,663","1,735","1,903","1,785","2,006","1,960","1,796","1,975","2,063","1,598","1,377","1,567","1,327"
Zinc Production,632,809,843,931,918,865,924,971,885,865,944,713,746,"1,096","1,030","1,030","1,030","1,024","1,158",943,"1,182","1,286","1,485","1,381",909,886,838,900,999,"1,026",977,"1,007",947
