Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,3.4,3.4,3.6,3.7,3.9,4.0,4.2,4.4,4.6,4.9,4.4,4.0,4.1,4.2,5.4,4.9,6.8,7.5,7.1,7.1,6.3,6.2,7.0,6.7,6.9,6.7,7.1,7.0,7.3,7.4,6.6,7.4,7.4
CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Commercial Aircrafta,110.8,104.2,106.4,109.6,114.5,116.2,119.6,123.9,120.6,131.4,140.5,125.6,122.3,123.9,125.9,133.8,138.1,140.8,128.3,120.5,114.2,115.5,114.2,115.2,116.1,120.0,121.4,129.0,130.7,137.8,92.0,120.0,130.8
CO2,109.9,103.3,105.5,108.7,113.5,115.2,118.6,122.9,119.7,130.3,139.3,124.6,121.3,122.9,124.8,132.7,137.0,139.7,127.3,119.5,113.3,114.6,113.3,114.3,115.2,119.0,120.4,128.0,129.6,136.7,91.3,119.0,129.7
CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2O,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.1,1.1,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.0,1.0,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.1,1.1,0.7,1.0,1.1
Other Aircraftb,78.0,68.8,64.4,62.6,65.1,60.2,69.0,64.8,71.7,65.3,58.6,68.0,66.8,58.9,64.5,59.5,47.9,42.3,48.1,36.7,40.3,34.1,32.0,34.6,34.9,40.3,47.4,45.5,44.6,45.6,31.0,35.5,37.0
CO2,77.3,68.2,63.8,62.0,64.5,59.6,68.4,64.2,71.0,64.7,58.1,67.4,66.2,58.4,63.9,59.0,47.5,41.9,47.7,36.4,40.0,33.8,31.7,34.3,34.6,40.0,47.0,45.1,44.2,45.2,30.7,35.1,36.7
CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2O,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.2,0.3,0.3
Ships and Boatsc,47.0,41.7,57.2,53.8,55.4,58.8,55.9,42.4,35.8,44.8,65.9,42.9,47.7,37.9,40.4,45.5,48.5,55.2,45.6,39.1,45.0,46.4,40.3,39.7,29.1,33.8,40.7,43.8,41.1,40.0,32.2,50.7,49.9
CO2,46.3,41.1,56.4,53.1,54.6,58.0,55.0,41.6,35.1,43.9,64.7,42.0,46.6,36.8,39.3,44.3,47.3,53.8,44.2,37.5,43.1,44.3,37.9,37.0,26.2,30.5,37.1,39.9,36.9,35.5,27.5,45.4,44.4
