Table 3-61:  Storage Tanks National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Large Tanks w/Flares,NO,58,111,157,195,240,290,344,378,388,430,463,493,534,606,716,813,893,1060,1210,1534,2018,3067,4057,5235,5885,4697,3755,5336,6251,5829,5594,4513
Large Tanks w/VRU,NO,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,5,6,7,9,11,12,4,4,3,9,2,1,1
Large Tanks w/o Control,24,23,21,19,17,16,16,15,14,12,11,10,10,9,8,8,7,7,6,6,6,6,6,6,6,6,6,5,4,9,5,4,2
Small Tanks w/Flares,NO,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,5,6,7,8,9,11,11,7,9,11,10,11
Small Tanks w/o Flares,12,12,11,10,9,9,9,8,8,7,7,6,6,6,6,5,5,5,6,6,6,6,7,7,8,8,6,4,5,4,4,5,5
Malfunctioning Separator Dump Valves,12,11,11,10,9,9,10,10,10,9,9,9,9,10,11,13,14,15,17,20,25,32,48,61,75,81,30,32,30,26,21,34,8
Total Emissions,48,105,155,197,232,277,326,381,413,420,462,493,522,563,636,748,846,927,1097,1249,1580,2072,3141,4147,5344,6002,4753,3811,5386,6309,5871,5649,4539
Previous Estimate,47,106,154,195,229,274,323,378,410,417,459,491,519,561,635,748,845,926,1096,1248,1579,2074,3145,4151,5348,6005,4763,3828,5398,6024,5255,5439,NA
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
