Table 3-31:  CO2 Emissions from Combustion of Tires (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Synthetic Rubber,0.3,0.5,0.7,1.0,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.5,1.6,1.6,1.6,1.7,1.8,1.7,1.5,1.3,1.1,1.3,1.6,1.5,1.4,1.4,1.3,1.3,1.2,1.1,1,1
C Black,0.4,0.6,0.9,1.2,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2,2.1,2.3,2.1,1.9,1.6,1.3,1.6,1.9,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.3,1.3
Total,0.7,1.2,1.6,2.2,2.9,3.1,3.2,3.2,3.2,3.2,3.3,3.2,3.4,3.5,3.5,3.6,3.8,4.1,3.8,3.5,2.9,2.4,2.9,3.5,3.4,3.2,3.0,2.9,2.8,2.7,2.5,2.3,2.3
