"Table 3-72:  Total Greenhouse Gas Emissions (CH4, CO2, and N2O) from Natural Gas Systems (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Exploration,7.3,9.6,6.0,6.7,7.2,6.2,9.0,11.6,11.9,12.3,15.0,19.0,16.5,19.2,20.3,22.3,27.3,26.8,27.4,15.7,12.4,7.0,3.4,2.7,1.5,1.3,0.9,1.8,2.9,2.3,0.3,0.1,0.2
Production,68.4,72.0,73.0,75.1,78.5,79.2,81.6,83.6,84.7,83.7,87.1,90.5,92.1,94.5,97.8,97.9,105.0,109.0,114.0,115.0,113.2,115.5,114.0,113.5,112.4,111.5,106.6,109.4,114.1,114.5,105.8,101.5,98.3
Processing,52.2,50.9,51.0,49.8,49.0,44.9,40.8,39.7,35.4,36.3,35.9,34.4,35.0,33.4,32.7,31.8,31.5,31.1,30.6,30.1,29.8,30.3,30.3,32.5,33.3,33.3,34.2,35.6,36.3,40.4,39.3,39.7,41.8
Transmission and Storage,64.2,64.8,65.1,63.5,62.1,60.4,58.5,57.9,56.8,55.6,54.8,51.2,51.3,49.4,49.0,46.2,44.5,43.8,43.7,42.9,42.8,41.6,40.9,41.1,40.7,42.6,41.9,40.4,41.7,41.8,43.1,40.7,40.7
Distribution,51,50.3,49.1,48.5,48.9,45.4,42.9,41.8,40.5,38.2,36.6,35.2,33.5,31.1,29.9,28.5,27.1,22.8,21.7,19.9,17.9,16.5,16.5,16.3,16.1,16.0,15.9,15.7,15.6,15.5,15.5,15.3,15.3
Post-Meter,8.1,8.2,8.3,8.4,8.7,9.0,9.0,9.1,9.4,9.5,9.7,9.6,9.7,9.4,9.6,9.6,9.9,10.1,10.1,10.0,10.1,10.0,10.7,10.4,10.8,11.6,11.9,11.9,12.5,12.8,13,13,13.4
Total ,251.2,255.7,252.6,252.1,254.4,245.1,241.8,243.7,238.7,235.6,239.1,239.8,238.2,237.1,239.4,236.5,245.2,243.6,247.5,233.5,226.4,220.9,215.7,216.4,214.8,216.4,211.4,214.8,223,227.3,217,210.4,209.7
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
