Table 3-69:  Refining National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Flares,"3,023"," 2,999 "," 3,032 "," 3,069 "," 3,126 "," 3,150 "," 3,209 "," 3,305 "," 3,357 "," 3,337 "," 3,406 "," 3,410 "," 3,370 "," 3,450 "," 3,498 ","3,431"," 3,436 "," 3,417 "," 3,311 "," 3,232 "," 3,645 "," 3,653 "," 3,252 "," 2,949 "," 2,867 "," 3,312 "," 3,147 "," 2,808 ","2,814","3,523","2,859","2,989","2,836"
Total Refining,"3,174"," 3,148 "," 3,183 "," 3,222 "," 3,282 "," 3,307 "," 3,369 "," 3,470 "," 3,524 "," 3,504 "," 3,576 "," 3,581 "," 3,538 "," 3,622 "," 3,673 ","3,602"," 3,608 "," 3,587 "," 3,477 "," 3,393 "," 3,794 "," 3,821 "," 3,429 "," 3,129 "," 3,036 "," 3,466 "," 3,233 "," 2,881 ","2,877","3,571","2,893","3,021","2,872"
Previous Estimate,"3,284"," 3,258 "," 3,294 "," 3,334 "," 3,396 "," 3,423 "," 3,486 "," 3,591 "," 3,647 "," 3,626 "," 3,700 "," 3,705 "," 3,661 "," 3,748 "," 3,801 ","3,728"," 3,733 "," 3,712 "," 3,598 "," 3,511 "," 3,804 "," 3,824 "," 3,430 "," 3,609 "," 3,419 "," 4,037 "," 4,010 "," 3,582 ","3,706","5,009","4,242","4,216",NA
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
