Table 3-34:  CH4 Emissions from Coal Mining (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Underground (UG) Mining,83.1,81.0,78.1,64.5,63.3,62.3,61.0,59.7,59.5,55.4,52.6,51.0,47.3,47.9,48.5,46.7,47.6,47.6,59.2,66.3,68.8,56.2,51.5,51.8,51.6,50.3,45.6,45.6,43.6,38.5,35.2,32.9,31.5
Liberated,90.6,88.6,87.3,76.6,77.7,78.3,80.5,75.0,78.6,72.4,72.3,73.7,71.7,68.6,69.9,66.9,72.6,68.7,80.8,88.4,95.4,80.5,74.3,76.6,70.7,68.6,64.1,64.3,66.7,56.6,53.7,52.3,55.7
Recovered & Used,-7.5,-7.6,-9.2,-12.1,-14.4,-15.9,-19.5,-15.3,-19.1,-16.9,-19.7,-22.7,-24.4,-20.7,-21.4,-20.1,-25.0,-21.1,-21.6,-22.1,-26.7,-24.3,-22.8,-24.8,-19.0,-18.3,-18.5,-18.7,-23.1,-18.1,-18.5,-19.4,-24.2
Surface Mining,12,11.4,11.3,11.2,11.8,11.5,11.9,12.2,12.6,12.5,12.3,13.2,12.8,12.4,12.9,13.3,14.0,13.8,14.3,12.9,12.9,12.9,11.5,10.9,10.8,9.7,7.6,8.1,7.8,7.2,5.4,5.7,6
Post-Mining (UG),10.3,9.7,9.7,8.4,9.3,9.2,9.6,10.0,9.9,9.2,8.9,9.1,8.5,8.6,8.9,8.6,8.4,8.1,8.2,7.5,7.6,7.7,7.5,7.4,7.5,6.5,5.4,6.0,5.9,5.8,4.3,4.8,4.8
Post-Mining (Surface),2.6,2.5,2.4,2.4,2.6,2.5,2.6,2.6,2.7,2.7,2.7,2.9,2.8,2.7,2.8,2.9,3.0,3.0,3.1,2.8,2.8,2.8,2.5,2.4,2.3,2.1,1.7,1.8,1.7,1.5,1.2,1.2,1.3
Total,108.1,104.6,101.6,86.5,86.9,85.6,85.1,84.5,84.8,79.7,76.5,76.2,71.5,71.6,73.1,71.5,73.0,72.6,84.7,89.4,92.0,79.7,73.0,72.4,72.3,68.5,60.3,61.4,59.1,53,46.2,44.7,43.6
Notes: Parentheses indicate negative values. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
