Table 3-47:  CO2 Emissions from Petroleum Systems (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Exploration,398,396,392,412,362,380,392,438,377,315,381,388,359,394,427,465,533,545,890,802,1366,2154,2945,3469,4081,2788,1550,1758,2684,2044,798,601,300
Production ,6012,6093,5839,5705,5723,6024,6214,6343,6156,5622,5554,5520,5600,5634,5810,6143,6299,6470,7192,7579,8805,10543,14393,17863,22159,24530,16584,18788,29215,39882,25244,20516,18793
Transportation,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,1.0,1.2,1.2,1.1,1.1,1.2,1.3,1.2,1.1,1.2
Crude Refining,3174,3148,3183,3222,3282,3307,3369,3470,3524,3504,3576,3581,3538,3622,3673,3602,3608,3587,3477,3393,3794,3821,3429,3129,3036,3466,3233,2881,2877,3571,2893,3021,2872
Total  ,9585,9638,9415,9340,9368,9712,9976,10252,10058,9441,9512,9490,9498,9651,9911,10210,10440,10603,11559,11774,13966,16519,20767,24463,29278,30786,21369,23428,34777,45498,28937,24140,21967
