Table 3-36:  CO2 Emissions from Coal Mining (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Underground (UG) Mining,4.2,4.0,4.0,3.4,3.9,3.9,4.0,4.1,4.1,3.8,3.7,3.7,3.5,3.5,3.6,3.6,3.5,3.4,3.5,3.3,3.3,3.4,3.4,3.4,3.5,3.1,2.5,2.8,2.8,2.7,1.9,2.2,2.2
Liberated,4.2,4.0,4.0,3.5,3.9,3.9,4.0,4.1,4.1,3.9,3.7,3.7,3.5,3.5,3.6,3.6,3.5,3.5,3.5,3.3,3.3,3.4,3.4,3.4,3.5,3.0,2.5,2.7,2.7,2.6,1.9,2.2,2.2
Recovered & Used,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+)
Flaring,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,+,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+
Surface Mining,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.3,0.2,0.3,0.3
Total,4.6,4.4,4.4,3.9,4.4,4.4,4.5,4.6,4.6,4.4,4.2,4.3,4.0,4.0,4.1,4.2,4.1,4.0,4.1,3.8,3.9,3.9,3.9,3.8,4.0,3.5,2.9,3.2,3.1,3,2.2,2.5,2.5
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Parentheses indicate negative values. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
