Table 3-65: Gas Engines National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Gas Engines,81271,81110,79597,81512,77659,75993,76286,76563,73570,70159,70724,70070,69646,69155,69518,69973,70347,70118,73657,73301,75106,78177,82888,87517,93206,92984,88582,88383,90773,92909,88619,87040,87546
Previous Estimate,81916,82331,80673,81512,78308,77333,77834,78306,75322,71356,71797,71128,70763,70252,70754,71348,71885,71745,75271,74966,76891,79975,84612,89042,94650,94312,89735,89476,91719,93608,89497,89233,NA
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
