"Table 3-43:  Total Greenhouse Gas Emissions (CO2, CH4, and N2O) from Petroleum Systems (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Exploration,3.4,3.5,3.6,4.1,3.2,3.1,3.6,4.2,3.3,2.2,3.2,3.8,3.3,4.1,4.7,5.7,7.6,7.6,9.6,5.8,8.1,10.6,11.4,10.6,10.0,5.3,2.4,2.3,3.2,2.5,1.1,0.8,0.4
Production ,51.6,51.7,50.6,50.4,50.2,50.8,52.4,52.7,51.5,49.8,50.0,49.9,49.8,50.1,50.4,48.1,50.9,50.5,52.7,51.8,53.0,55.6,58.0,72.6,80.1,82.5,66.0,78.0,86.7,90.6,77.3,68.0,57.4
Transportation,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2
Crude Refining,3.9,3.9,3.9,4.0,4.0,4.1,4.1,4.3,4.3,4.3,4.4,4.4,4.3,4.5,4.5,4.4,4.4,4.4,4.3,4.2,4.6,4.7,4.3,3.9,3.8,4.3,4.0,3.7,3.7,4.4,3.6,3.7,3.6
Total  ,59.0,59.3,58.3,58.6,57.5,58.2,60.3,61.4,59.3,56.4,57.7,58.2,57.5,58.8,59.7,58.5,63.0,62.7,66.7,61.9,65.8,71.0,73.8,87.4,94.1,92.4,72.6,84.3,93.8,97.8,82.3,72.8,61.6
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
