Table 3-67:  Offshore Production National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GOM Federal Waters – Vented,"196,769","195,560","195,297","194,376","200,559","194,951","205,276","203,168","206,440","210,905","205,268","204,292","201,842","204,581","206,936","101,585","200,239","196,937","189,299","174,103","157,130","153,618","149,625","129,007","122,388","118,910","116,990","115,161","112,786","110,263","103,116","102,365","101,546"
GOM Federal Waters - Leaks,"96,575","95,765","95,630","95,190","98,217","95,393","100,376","99,316","101,009","103,270","100,640","100,265","98,816","100,128","101,226","103,712","98,119","96,523","92,897","85,260","71,453","69,555","67,485","76,577","72,779","70,709","61,141","60,157","58,938","57,577","53,860","53,395","52,961"
Total Emissions,"293,344","291,325","290,927","289,565","298,776","290,344","305,652","302,484","307,449","314,176","305,908","304,557","300,658","304,709","308,162","205,298","298,358","293,460","282,197","259,363","228,583","223,173","217,110","205,584","195,166","189,619","178,131","175,318","171,724","167,840","156,976","155,760","154,507"
Previous Estimate,"293,204","291,197","290,792","289,498","298,860","290,104","305,493","302,339","307,124","314,152","305,571","304,218","300,537","304,572","308,354","205,207","298,212","293,444","281,985","259,101","228,452","223,247","216,761","205,453","195,091","189,471","179,493","175,885","171,910","170,190","162,543","168,798",NA
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
