Table 3068:  Refining National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Refining,"25,742"," 25,535 "," 25,817 "," 26,133 "," 26,619 "," 26,825 "," 27,325 "," 28,146 "," 28,582 "," 28,420 "," 29,003 "," 29,041 "," 28,694 "," 29,379 "," 29,789 ","29,218"," 29,261 "," 29,096 "," 28,198 "," 27,521 "," 28,060 "," 30,084 "," 29,298 "," 27,516 "," 26,992 "," 29,108 "," 28,138 "," 29,773 ","27,804","30,814","25,861","25,366","24,685"
Previous Estimate,"26,398"," 26,185 "," 26,474 "," 26,798 "," 27,297 "," 27,508 "," 28,021 "," 28,863 "," 29,310 "," 29,143 "," 29,742 "," 29,781 "," 29,424 "," 30,127 "," 30,548 ","29,963"," 30,006 "," 29,837 "," 28,916 "," 28,222 "," 28,414 "," 30,421 "," 29,620 "," 29,431 "," 29,584 "," 30,776 "," 30,740 "," 32,504 ","30,313","35,516","31,023","29,551",NA
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
